,Rank,Movie_Name,Year_release,IMDB_Ratings,SexNudity,Violence,Profanity,KIM Rating
0,1,The Shawshank Redemption,1994,9.2,7,7,7,R
1,2,The Godfather,1972,9.2,1,7,1,PG13
2,3,The Dark Knight,2008,9.0,2,7,3,PG13
3,4,The Godfather Part II,1974,9.0,1,7,1,PG13
4,5,12 Angry Men,1957,9.0,8,8,5,R
5,6,Schindler's List,1993,8.9,6,10,5,R
6,7,The Lord of the Rings: The Return of the King,2003,8.9,1,7,1,PG13
7,8,Pulp Fiction,1994,8.8,9,10,10,R
8,9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1,7,1,PG13
9,10,"The Good, the Bad and the Ugly",1966,8.8,1,6,1,PG
10,11,Forrest Gump,1994,8.8,4,4,5,PG13
11,12,Spider-Man: Across the Spider-Verse,2023,8.7,1,4,3,PG
12,13,Fight Club,1999,8.7,7,10,10,R
13,14,The Lord of the Rings: The Two Towers,2002,8.7,1,7,1,PG13
14,15,Inception,2010,8.7,1,7,4,PG13
15,16,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2,7,0,PG13
16,17,The Matrix,1999,8.7,2,7,5,R
17,18,Goodfellas,1990,8.7,5,7,5,PG13
18,19,One Flew Over the Cuckoo's Nest,1975,8.6,1,7,1,PG13
19,20,Se7en,1995,8.6,1,5,3,PG
20,21,It's a Wonderful Life,1946,8.6,5,3,5,PG13
21,22,Seven Samurai,1954,8.6,2,3,1,PG
22,23,The Silence of the Lambs,1991,8.6,4,10,5,R
23,24,Saving Private Ryan,1998,8.6,1,9,7,R
24,25,City of God,2002,8.6,4,6,5,PG13
25,26,Interstellar,2014,8.6,1,5,5,PG13
26,27,Life Is Beautiful,1997,8.6,2,3,0,PG13
27,28,The Green Mile,1999,8.6,4,7,7,R
28,29,Star Wars: Episode IV - A New Hope,1977,8.5,2,5,1,PG
29,30,Terminator 2: Judgment Day,1991,8.5,4,8,5,R
30,31,Back to the Future,1985,8.5,4,3,5,PG13
31,32,Spirited Away,2001,8.5,0,4,0,PG
32,33,The Pianist,2002,8.5,2,8,5,R
33,34,Psycho,1960,8.5,5,6,0,R
34,35,Parasite,2019,8.5,5,6,7,R
35,36,LÃ©on: The Professional,1994,8.5,1,7,1,PG13
36,37,The Lion King,1994,8.5,1,3,1,PG
37,38,Gladiator,2000,8.5,3,10,3,R
38,39,American History X,1998,8.5,7,10,10,N/a
39,40,The Departed,2006,8.5,7,8,10,R
40,41,Whiplash,2014,8.5,6,3,5,PG13
41,42,The Prestige,2006,8.5,4,7,3,PG13
42,43,The Usual Suspects,1995,8.5,2,7,9,R
43,44,Casablanca,1942,8.5,6,7,6,R
44,45,Grave of the Fireflies,1988,8.5,1,7,1,PG13
45,46,Harakiri,1962,8.5,4,2,1,NR
46,47,The Intouchables,2011,8.5,9,9,6,R
47,48,Modern Times,1936,8.4,3,7,6,R
48,49,Once Upon a Time in the West,1968,8.4,1,3,1,PG
49,50,Cinema Paradiso,1988,8.4,5,5,5,R
50,51,Rear Window,1954,8.4,9,5,7,R
51,52,Alien,1979,8.4,1979/2003,,,
52,53,City Lights,1931,8.4,2,3,1,PG
53,54,Apocalypse Now,1979,8.4,7,9,10,R
54,55,Memento,2000,8.4,1,3,1,G
55,56,Django Unchained,2012,8.4,6,9,7,R
56,57,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,1,7,4,PG13
57,58,WALLÂ·E,2008,8.4,2,6,5,PG13
58,59,The Lives of Others,2006,8.4,8,3,6,R
59,60,Sunset Blvd.,1950,8.4,5,1,5,R
60,61,Paths of Glory,1957,8.4,1,7,5,PG13
61,62,Avengers: Infinity War,2018,8.4,2,7,4,PG13
62,63,The Shining,1980,8.4,1,7,1,PG13
63,64,The Great Dictator,1940,8.4,1,7,1,PG13
64,65,Witness for the Prosecution,1957,8.4,1,7,1,PG13
65,66,Spider-Man: Into the Spider-Verse,2018,8.4,2,4,2,PG
66,67,Aliens,1986,8.3,3,4,3,PG
67,68,American Beauty,1999,8.3,8,6,7,N/a
68,69,The Dark Knight Rises,2012,8.3,2,7,3,PG13
69,70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,9,9,6,R
70,71,Inglourious Basterds,2009,8.3,6,10,7,R
71,72,Oldboy,2003,8.3,8,9,8,R
72,73,Coco,2017,8.3,1,3,1,PG
73,74,Amadeus,1984,8.3,4,5,3,PG13
74,75,Toy Story,1995,8.3,1,3,1,G
75,76,Braveheart,1995,8.3,6,10,2,R
76,77,Das Boot,1981,8.3,2,6,1,PG
77,78,Joker,2019,8.3,5,7,7,R
78,79,Avengers: Endgame,2019,8.3,1,6,4,PG13
79,80,Princess Mononoke,1997,8.3,1,6,3,PG13
80,81,Good Will Hunting,1997,8.3,3,2,10,R
81,82,Once Upon a Time in America,1984,8.3,4,7,10,R
82,83,Your Name.,2016,8.3,5,6,10,R
83,84,3 Idiots,2009,8.3,3,5,2,PG
84,85,Singin' in the Rain,1952,8.3,3,4,1,PG
85,86,High and Low,1963,8.3,5,7,5,PG13
86,87,Requiem for a Dream,2000,8.3,1,3,1,G
87,88,Capernaum,2018,8.3,2,5,10,R
88,89,Toy Story 3,2010,8.3,1,3,1,G
89,90,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1,7,1,PG13
90,91,Come and See,1985,8.3,5,3,5,PG13
91,92,Eternal Sunshine of the Spotless Mind,2004,8.3,6,5,7,R
92,93,2001: A Space Odyssey,1968,8.3,3,4,4,PG13
93,94,The Hunt,2012,8.3,6,7,3,PG13
